"","ac
        type","cn / ln","date","fatalities","flight #","ground","location","operator","registration","route","summary","time"
"1488","Lockheed R7V-1","4108","October 30, 1954","42   (passengers:21  crew:21)","57","0","Off Ocean City, Maryland","Military - U.S. Navy","128441","Patuxent River NAS - Kenitra, Morocco","The aircraft disappeared approximately 300 miles east of Ocean City, Maryland and no trace of the wreckage or bodies was ever found.","0100"
"1489","Vickers 720 Viscount","44","October 31, 1954","3   (passengers:0  crew:3)","?","0","Mangalore, Australia","TAA","VH-TVA","Training","Crashed during takeoff. An error of judgement on the part of the pilot-in-command in that he took the aircraft into the air at a speed below the minimum control speed, following loss of directional control during the ground run.","1510"
"1490","Douglas DC-3","?","November 16, 1954","24   (passengers:21  crew:3)","?","0","Jirishanga,Cerro de Pasco, Peru","TAM (Brazil)","FAP-403","Pucallpa - Lima","Disappeared over the Andes while en route. Wreckage found 12/04/1954.","?"
"1491","Douglas DC-3","11745","November 30, 1954","2   (passengers:0  crew:2)","792","0","Berlin, New Hampshire","Northeast Airlines","N17891","Boston - Concord - Laconia - Berlin, NH","The aircraft crashed during an ILS approach to Berlin. Premature and unauthorized instrument descent to an altitude that did not permit terrain clearance.","1115"
"1492","Douglas DC-3","19211","December 04, 1954","29   (passengers:25  crew:4)","?","0","Near Luang Pragang, Laos","Air Laos","F-BEIA","Luang Prabang - Nam Tha","Crashed in the jungle about 30 km north of Luang Prabang on the company's first commercial flight.","?"
"1493","Douglas C-47A","12549","December 12, 1954","4   (passengers:0  crew:4)","?","0","Bratislava, Slovakia","Ceskoslovenské Aerolinie","OK-WDK","Prague - Brno - Bratislava","Hit the ground while making an approach to land. It is believed that the Pitot tubes heater system was OFF at the time of the accident, which cause several instruments to display wrong parameters, such the altimeters and the speed indicators.","2304"
"1494","Douglas DC-6B","44418/487","December 18, 1954","26   (passengers:16  crew:10)","451","0","New York, New York","Linee Aeree Italiane","I-LINE","Rome - New York City","The plane crashed into approach lights of the runway during the fourth landing attempt at Idlewild Airport, sinking into Jamaica  Bay. An erratic approach which resulted in a descent to an altitude too low to avoid striking the pier. A contributing factor was pilot fatigue due to the particular and difficult circumstances including two and one-half hours in a holding pattern.","1400"
"1495","Douglas C-47A","19292","December 18, 1954","2   (passengers:0  crew:2)","?","0","Near Bolivar, Venezuela","Linea Aeropostal Venezolana","YV-C-AMP","Bolivar - Tumeremo","The cargo plane crashed into a mountain while en route.","?"
"1496","Douglas DC-3","20197","December 22, 1954","10   (passengers:9  crew:1)","4844-C","0","Pittsburgh, Pennsylvania","Johnson Flying Service","N24320","Newark - Pittsburgh - Colorado Springs","Ditched into the Monongahela River after running out of fuel. Inadequate flight planning. Contributing factors were inadequate crew supervision and training.","2300"
"1497","Boeing B377-10-28 Stratocruiser","15943","December 25, 1954","28   (passengers:24  crew:4)","?","0","Prestwick, Ayrshire, Scotland","British Overseas Airways","G-ALSA","London - Prestwick - Shannon - Gander - New York","Crashed short of the runway, landing hard. Pilot error. Errors of judgement on the part of the captain in starting his final approach to land at too steep an angle and flaring out too late and too severely with the result that the aircraft sank and hit the ground short of the runway.","?"
"1498","Ilyushin II-14","?","December 31, 1954","17   (passengers:14  crew:3)","?","0","Irkutsk, Russia","Aeroflot","?","Beijing- Irkutsk - Tashkent - Nicosia","Crashed shortly after takeoff from Irkutsk-Magan Airport.","?"
"1499","Douglas C47","?","January 01, 1955","12   (passengers:?  crew:?)","?","0","Near Anchorage, Alaska","Military - US Air Force","?","Anchorage - Nome","The pilot turned back to make an emergency landing at Skwentna Airport but hit a ridge a mile short of the runway.","?"
"1500","Avro Shackleton M-2 / Avro Shakleton M-2","?","January 11, 1955","18   (passengers:?  crew:?)","?","0","Off Skellings, Ireland","Military -Royal Air Force","WG531 / Wl743","?","Disappeared while on a training mission. Two planes collided in midair.","21:00"
"1501","Martin 202A / DC-3","14081 / 4255","January 12, 1955","15   (passengers:10  crew:5)","?","0","Greater Cincinnati Airport, Covington, Kentucky","Trans World Airlines / Castleton Inc.","N93211/N999B","Cincinnati - Cleveland","Midair collision at 700-900 feet. The DC-3 entered the airport's control space without clearance or communication with the tower. Thirteen killed on the Martin, two crew on the DC-3.","0905"
"1502","Grumman G-73 Mallard","?","January 15, 1955","1   (passengers:1  crew:0)","?","0","London, Ontario, Canada","Ontario Hydro","CF-GEU","Windsor - Toronto","The aircraft, which had no wing anti-ice capability, flew into unexpected heavy freezing rain and ice, 4 inches thick formed. Needing an emergency landing at London, the pilot requested lights on all runways and approaches be turned on. This was not normally done as it might confuse pilots. This overloaded the lighting circuit and blew a fuse. The plane crash-landed short of the runway and the pilot said it became so hard to control the aircraft that the absence of lights may not have mattered. One passenger died of his injuries almost 30 hours later.","0005"
"1503","Convair CV-340","180","January 19, 1955","0   (passengers:0  crew:0)","329","0","Des Moines, Iowa","United Air Lines","N73154","Newark - Des Moines - Lincoln","Almost complete loss of elevator control and severe vibration was experienced shortly after taking off from Des Moines. The plane when into a steep climb and almost stalled but the captain applied full power and went into a steep dive. The captain then reduced power and headed for open country where the aircraft safely made an emergency wheels up  landing in a corn field.  A series of omissions made by maintenance personnel during a scheduled inspection which resulted in the release of the aircraft in an unairworthy condition and an almost complete loss of elevator control during flight.","1625"
"1504","Consolidated PBY-5 Catalina","?","January 31, 1955","5   (passengers:4  crew:1)","?","0","Lapadrera, Colombia","Interamericana de Aviacion","HK-1000E","Bogota - Villavicencio - Mitu - La Pedrera","The cargo plane crashed into the Caqueta river while attempting to land.","?"
"1505","Douglas DC-3","13037","February 02, 1955","10   (passengers:6  crew:4)","?","0","Nagpur, India","Indian Airlines","VT-CVB","Nagpur - Delhi","Crashed into a field shortly after takeoff. The aircraft crashed as a result of slipping into the ground in the course of a poorly executed steep turn to port, carried out at night at a low altitude.","0350"
"1506","Bristol 170 Freighter 21E","12779","February 05, 1955","13   (passengers:9  crew:4)","?","0","Near Calabar, Nigeria","West African Airways","VR-NAD","Enugu - Calabar","Crashed shortly after taking off after a wing failed. A design flaw in the wing led to fatigue cracks and wing failure.","1004"
"1507","Douglas DC-6","43063/60","February 13, 1955","29   (passengers:21  crew:8)","?","0","Abruzzio Mountains, Italy","Sabena","OO-SDB","Brussels - Rome","Crashed into a mountain while on approach. Navigational error due to failure to use radio equipment.","1953"
"1508","Martin 404","14120","February 19, 1955","16   (passengers:13  crew:3)","260","0","Albuquerque, New Mexico","Trans World Airlines","N40416","Albuquerque - Sante Fe","After taking off from Albuquerque, the aircraft flew a path directly towards Sandia Mountain and crashed into it.  While initially blaming the pilots of intentionally flying the plane into the mountain, five years later, the CAB changed the probable cause to ""deviation from course for reasons unknown"" and admitted there may have been a problem with the flux gauge compass.","0731"
"1509","Douglas DC-3","15109/26554","February 23, 1955","1   (passengers:0  crew:1)","626","0","Salisbury,  Zimbabwe","Central African Airways","VP-YKO","Salisbury - Lusaka","The pilot began taking off and retracted the landing gear when smoke was observed in the cockpit. He attempted to belly land the plane. The propellers separated and penetrated the fuselage killing the fight engineer. The presence of smoke in the flight crew compartment in sufficient quantity to make the captain apprehensive of fire and to cause him to land the aircraft immediately with the landing gear retracted. A fractured rubber hose on the port engine connecting the rocker box of one of the lower cylinders to the collector box caused smoke to enter the wheel well and into the crew compartment.","0920"
"1510","de Havilland DH.104 Dove","04094","February 26, 1955","6   (passengers:4  crew:2)","?","?","Formosa, Argentina","de Havilland Dove","LQ-XWW","?","The aircraft was not able to get airborne and hit the end marker of the runway then hit the airport fence. Use of spark plugs inappropriate to the engine type. Overloaded.","1550"
"1511","Douglas DC-3","11699","March 06, 1955","5   (passengers:4  crew:1)","?","0","Vitoria da Conquista, Brazil","REAL","PP-YPZ","?","After an aborted landing attempt due to a unlocked landing gear, the plane made a left turn, hit a pole, crashed and burned. Pilot error. Improper use of the throttles by the crew following the go-around. Failure of the landing gear locking mechanism.","?"
"1512","Lockheed 18 LodeStar","?","March 07, 1955","6   (passengers:4  crew:2)","?","?","Near Cuidad de Valles, Mexic","Private","XB-ZEH","Tampico - Mexico City","While cruising by night, the twin engine aircraft hit the slope of the Cerro El Sabino located near Ciudad Valles.","?"
"1513","Douglas DC-3","3992","March 08, 1955","26   (passengers:23  crew:3)","591","0","Mascota, Mexico","Mexicana","XA-DIK","Puerto Vallarta - Talpa de Allende - Mascota - Guadalajara","the airplane hit the slope of the Cerro del Cabre located about 20 km northwest of the airport.","1340"
"1514","Douglas C-47A","20224","March 09, 1955","8   (passengers:5  crew:3)","?","0","Trujillo, Colombia","AVIANCA","HK-328","Condoto - Cali","The cargo plane crashed with a gold and platinum shipment aboard. Wreckage found one month later.","1515"
"1515","Convair CV-240-0","066","March 20, 1955","13   (passengers:11  crew:2)","711","0","Springfield, Missouri","American Airlines","N94234","Newark - Chicago - St. Louis - Springfield - Tulsa","The plane crashed 1.25 miles short of the runway while attempting to land. Crew's inattention to flight instruments during approach. Pilot sensory illusion which gave a  false impression of the aircraft's altitude.","2236"
"1516","Douglas R6D-1 (C-118B)","43715","March 22, 1955","66   (passengers:57  crew:9)","?","0","Oahu, Hawaii","Military - U.S. Navy","131612","Tokyo - Hickam - Travis","The aircraft returned to Hickam Airfield because of inoperative high-frequency radio transmitters. As the plane was descending to land, it crashed into Pali Kea peak, 15 miles northwest of Honolulu. Navigational error by the crew brought the plane 8 miles north of its intended position.","0203"
"1517","Boeing 377 Stratocruiser 10-26","15932","March 26, 1955","4   (passengers:2  crew:2)","845/26","0","Off the Oregon coast","Pan American World Airways","N1032V","Portland - Honolulu","The plane ditched 35 miles off the Oregon coast after the No. 3 engine and propeller broke away causing severe control difficulties. The plane sank after 20 minutes. Loss of control and inability to maintain altitude following failure of the No. 3 propeller which resulted in wrenching free the No. 3 power  package. The aircraft was named ""Clipper United States.""","1112"
"1518","Curtiss C-46A","30430","April 02, 1955","2   (passengers:0  crew:2)","?","0","Off Pensacola, Florida","Aaxico Airlines","N51424","Mobile, AL - Macon, GA","The cargo plane flew into a thunderstorm and crashed into the sea  in the Gulf of Mexico while en route.","?"
"1519","Douglas DC-6","43001/32","April 04, 1955","3   (passengers:0  crew:3)","?","0","Islip, New York","United Air Lines","N37512","Training","Suddenly dove into the ground. Unintentional movement of no.4 throttle into the reverse range just before breaking ground, with the other three engines operating at high power output, which resulted in the aircraft very quickly becoming uncontrollable once airborne.","1555"
"1520","Lockheed 749A Constellation","2666","April 11, 1955","19   (passengers:11  crew:8)","?","0","Off Great Natuna Island, Sarawak","Air India","VT-DEP","Hong Kong - Jakarta","An explosion occurred at 18,000 feet while over the China Sea. A resulting fire which started on the starboard wing soon spread and eventually led to total hydraulic and electrical failure. Smoke filled the cockpit and the plane crashed. An act of political terrorism.  An aircraft worker placed an incendiary device in the starboard wheel wella by an airport worker. The plane was named ""Kashmir Princess.""","1730"
"1521","de Havilland DH-114 Heron 1B","14010","April 18, 1955","12   (passengers:9  crew:3)","?","0","Kupe Mountains, Cameroons","Union des Transportes Aeriens","F-BGOI","Yaounde - Douala","The aircraft hit the slope of Mt Koupé located about 80 km north of Douala. Wreckage found after 10 months.","?"
"1522","Douglas DC-3","16820/33568","May 18, 1955","20   (passengers:16  crew:4)","?","0","Mt. Kilimanjaro, Kenya","East African Airways","VP-KKH","Dar-es-Salaam - Nairobi","Crashed after reporting being over Jipe Lake on the slopes of Mt. Kilimanjaro. Failure to follow prescribed route and procedures.","1156"
"1523","Douglas C-47-DL","4791","May 21, 1955","4   (passengers:4  crew:0)","?","0","Off Barcelona, Venezuela","Linea Aeropostal Venezolana","YV-C-ALU","Caracas - Barcelona","Ditched into the sea a few km from shore.","?"
"1524","Avro 685 York C-1","MW237","May 26, 1955","2   (passengers:0  crew:2)","?","0","Edmonton, Alberta, Canada","Associated Airways","CF-HMY","?","The attempt of the pilot to takeoff under the prevailing unfavorable conditions. As a result, the aircraft hit an instrument landing building and crashed into a rail yard.","1427"
"1525","Douglas C-54A","10292","June 03, 1955","3   (passengers:0  crew:3)","?","0","Fort Lamy, Cameroon","Union Aéromaritime de Transport","F-BFVT","Douala - Fort Lamy","The cargo plane crashed while attempting to land.","?"
"1526","Lockheed 049-46-21 Constellation","2032","June 16, 1955","16   (passengers:9  crew:7)","?","0","Near Asuncion, Paraguay","Panair do Brasil","PP-PDJ","Sao Paulo - Asuncion","Crashed on final approach. Pilot fatigue. The pilot did not follow the recommended procedure for instrument final approach and he descended below the height prescribed in the final approach chart.","0115"
"1527","Curtiss C-46","?","June 18, 1955","18   (passengers:18  crew:0)","?","0","Leon, Mexico","Tigres Voladores","XA-LID","Leon - Mexico City","Lost an engine on takeoff and crashed into trees and caught fire.","?"
"1528","Douglas DC-2-243","2088","July 14, 1955","22   (passengers:19  crew:3)","?","0","Oaxaca, Mexico","Lineas Areas Unidas","XA-DOB","Acapulco - Oaxaca","Crashed in a mountainous area located 39 km from the airport in the Zimathan district while en route.","1545"
"1529","Convair CV-340-32","071","July 17, 1955","22   (passengers:20  crew:2)","560","0","Chicago, Illinois","Braniff Airlines","N3422","Kansas City, MO - Chicago","While on instrument approach, the aircraft hit a sign and crashed through the airport boundry fence.  Momentary disorientation caused by the loss of visual reference during the final visual phase of the approach resulting in an increased rate of descent at an altitude too low to effect recovery.","0624"
"1530","Lockheed 049 Constellation","1968","July 27, 1955","58   (passengers:51  crew:7)","402/46","0","Near Petrich, Bulgaria","El Al","4X-AKC","London - Paris - Vienna - Tel Aviv","On a flight from London, England to Tel Aviv, the aircraft drifted over Bulgarian airspace and was shot down by Bulgarian jet fighters. A navigational error that probably originated with an incorrect radio compass indication due to the effects of thunderstorm activity in the area.","0738"
"1531","Convair CV-240-0","040","August 04, 1955","30   (passengers:27  crew:3)","476","0","Fort Leonard Wood, Missouri","American Airlines","N94221","Springfield, IL - St. Louis, MO","The aircraft attempted an emergency landing at a military airstrip after fire broke out in the No. 2 engine. The right wing separated from the aircraft and crashed 1.5 miles from the runway. Installation of an unairworthy cylinder in the No. 2 engine which resulted in an uncontrollable fire and loss of the right wing.","1223"
"1532","Aeroflot","4340408","August 05, 1955","25   (passengers:20  crew:5)","214","0","Near Voronezh, Russia","Aeroflot","L5057","Starllingrad - Moscow.","The right engine caught on fire due to a fuel leak leading to distruction of the plane in the air.","1518"
"1533","Fairchild C119G / Fairchild C119G","11258","August 11, 1955","67   (passengers:57  crew:10)","?","0","Near Edelweiler, West Germany","Military - U.S. Air Force / Military - U.S. Air Force","53-3222/53-7841","Dreux - Stuttgart","Participating in a U.S. military exercise, the two planes collided in midair while in formation after one of the planes pulled out of formation because of engine trouble. The accident occurred at an altitude of 4,000 feet.  Forty-six aboard 7841 and 20 aboard 3222 were killed.","14:20"
"1534","Douglas DC-3","11692","August 26, 1955","13   (passengers:9  crew:4)","?","0","Caparao Mountain, Brazil","Cruzeiro","PP-CBY","Rio de Janeiro - Caravelas","Hit Caparao Mountain while en route, 1 hour after taking off.  Failure to follow flight plan.","0800"
"1535","Douglas C-47A","13285","August 30, 1955","2   (passengers:0  crew:2)","?","0","Simra, Nepal","Kalinga Airlines","VT-AZX","?","The cargo plane lifted off too early, stalled and crashed. The pilot tried to avoid a person on the runway.","?"
"1536","Douglas DC-3","12579","September 02, 1955","12   (passengers:9  crew:3)","?","0","Lanywa, Burma (Myanmar)","Union of Burma Airways","XY-ACQ","Meiktila - Lanywa","Flew into Mount Popa located about 45 km east of Lanywa.","?"
"1537","Douglas DC-3","6257","September 08, 1955","2   (passengers:0  crew:2)","24","1","Burbank, California","Currey Air Transport","N74663","Burbank - Oakland","The plane returned after failure of the No. 2 engine, stalled and crashed 200 yards short of the runway  into parked aircraft and a hanger.  The captain's commitment to a landing without radio or visual confirmation of his runway alignment following engine failure immediately after takeoff.","0757"
"1538","Latecoere 631 (flying boat)","8","September 10, 1955","16   (passengers:8  crew:8)","?","0","Near Banyo, Cameroon","Societe France Hydro","F-BDRE","Lac Lérè - Douala","Crashed into the Cameroon mountains after the wing separated due to severe turbulence.","?"
"1539","Bristol 170 Freighter 31","12831","September 17, 1955","2   (passengers:1  crew:1)","?","0","Near Thorhild, Alberta, Canada","Pacific Western Airlines","CF-GBT","Edmonton - Yellowknife","For reasons undetermined, the right engine failed and as a result of being overloaded, the aircraft did not maintain altitude on one engine and struck the ground with the right wingtip. A possible contributing factor was the failure of the co-pilot's vacuum-driven gyro instruments, without his knowledge.","0050"
"1540","Canadair C-4 Argonaut","158","September 22, 1955","15   (passengers:13  crew:2)","?","0","Idris, Libya","British Overseas Airways","G-ALHL","Rome - Tripoli","Crash landed in a sandstorm on the fourth landing attempt.  The plane came in too low, struck a line of trees and crashed 1,200 yards short of the runway.  Pilot error.  In an error in judgement, the captain who allowed his desire to keep the runway lights in view failed to make adequate reference to his flight instruments.","0023"
"1541","Douglas C-54A","10410","September 24, 1955","3   (passengers:0  crew:3)","?","0","Pacific Ocean (1,000 miles west of Honolulu, HI)","Flying Tiger Line","N90433","Wake Island - Honolulu","The cargo plane lost 3 engines and ditched into the Pacific Ocean. The loss of power in three engines due to incorrect fuel system management and faulty restarting methods which resulted in the ditching of the aircraft.","2048"
"1542","Avro 685 York C-1","?","September 29, 1955","1   (passengers:0  crew:1)","?","0","Yellowknife, Northwest Territory, Canada","Associated Airways","CF-HMV","Shepard Bay -Yellowknife","The cargo plane ditched into the Thoa river. The pilot radioed he was going down and was ditching into a lake. Fuel exhaustion.","1310"
"1543","Douglas C54A","10277","October 02, 1955","19   (passengers:15  crew:4)","?","0","Pico Oiriruma-Vinac, Peru","Faucett","OB-PAZ-228","Lima - Cuzco","Crashed in adjacent mountains while attempting an emergency landing following an engine fire.","?"
"1544","Douglas DC-4","18389","October 06, 1955","66   (passengers:63  crew:3)","409","0","Near Centennial, Wyoming","United Air Lines","N30062","Denver - Salt Lake City - San Francisco","The aircraft crashed into cloud covered Medicine Bow Peak while en route. The plane failed to clear the 12,013 ft. peak by 75 feet. The pilot deviated from course for reasons unknown.  Possible incapacitation of crew by carbon monoxide emanating from a faulty cabin heater, though never proven.","0726"
"1545","Convair CV-340-58","178","October 10, 1955","7   (passengers:6  crew:1)","?","0","Near Vienna, Austria","JAT Yugoslav Airlines","YU-ADC","Beograd - Wien","Crashed into Kahlenberg Hill while on approach to Wien.  The aircraft flew for a longer time on the outbound track and descended below the prescribed minimum altitutde. Pilot error.","1540"
"1546","Douglas DC-6B","43538","November 01, 1955","44   (passengers:39  crew:5)","629","0","Longmont, Colorado","United Air Lines","N37559","Denver - Portland","The aircraft crashed 11 minutes after taking off from Denver Stapleton Airport, 8 miles east of Longmont.  Detonation of a dynamite bomb in the No. 4 cargo hold, placed by John (Jack) Gilbert Graham in his mother's luggage in order to collect $37,500 in insurance.  A delayed flight caused the bomb to detonate over flat land rather than the mountains as planned.  Graham never showed any remorse for his actions and refused to file any appeals. He was executed for the crime on 1/11/56.","1903"
"1547","Douglas MC-54M","27294","November 17, 1955","14   (passengers:10  crew:4)","?","0","Near Las Vegas, Nevada","Military - U.S. Air Force","44-9068","Burbank - Groom Dry Lake","Crashed into the  peak of Mount Charleston 30 miles WNW of Las Vegas during a storm.","?"
"1548","Douglas C-54","3123","November 17, 1955","28   (passengers:27  crew:1)","17K","0","Seattle, Washingon","Peninsular","N88852","Seattle - Newark","Crashed on takeoff. In-flight prop failure.  Maintenance error.  The excessively high drag resulting from the improperly indexed propeller blades and inability to feather.","2359"
"1549","Douglas C124-DL Globemaster II","43483","November 20, 1955","10   (passengers:2  crew:8)","?","0","Iwo Jima, Japan","Military - US Air Force","51-0149","Iwo Jima AFB - Tachikawa AFB","The military transport crashed seconds after taking off from Central Airport in Iwo Jima. Malfunction of the number one engine propeller that went into reverse after an electrical short-circuit occurred.","1859"
"1550","Boeing RB-52B","?","November 30, 1955","10   (passengers:0  crew:10)","?","0","Near Ballico, California","Military - U.S. Air Force","52-8716","?","The aircraft crashed into a wooded area in 5 degree nose-down attitude.  Abnormal nose-down trim condition which could not be corrected due to an unknown malfunction.","2200"
"1551","Douglas DC-3","15845/32593","December 01, 1955","6   (passengers:4  crew:2)","?","0","Belem, Brazil","Cruzeiro","PP-CCC","Belem - Barreiras","Shortly after taking off, the No.1 engine lost power. The crew shut off the hydraulic pump which caused the landing gear to stop retracting halfway. The resulting drag, caused the aircraft to lose altitude. The left wing struck a tree and the plane crashed and burned. Failure of the front bearing of the propeller shaft leading to disconnection of the reduction gear and left propeller and causing a sudden failure of the left engine.","0657"
"1552","Li-2","23443306","December 09, 1955","21   (passengers:16  crew:5)","976","0","Khabarovsk Territory, Russia","Aeroflot","CCCP-L4993","Yuzhno-Sakhalinsk - Khabarovsk","Flew into a mountain wave in the Sikhote-Alin Mountain Range while en route.","1207"
"1553","Curtiss C-46A","30262","December 17, 1955","2   (passengers:0  crew:2)","?","0","Hollywood, South Carolina","Riddle Airlines","N9904F","New York - Miami","The cargo plane was carrying mail . An in-flight structural failure resulting from a violent pitch-down induced by the erratic action of nonconforming elevator tab controls.","2040"
"1554","Douglas DC-3","?","December 19, 1955","26   (passengers:?  crew:?)","?","0","Sao Paulo, Brazil","Cruzeiro Do Sud","?","Sao Paulo - Belem","Crashed on takeoff.","?"
"1555","Lockheed 749C-79-12 Constellation","2533","December 21, 1955","17   (passengers:12  crew:5)","642","0","Jacksonville, Florida","Eastern Air Lines","N112A","Miami - Jacksonville - Boston","The plane crashed while on approach and during an attempted go-around.  The crew allowed the aircraft to deviate to the left of course and descent below the glide path for reasons unknown.  The crew encountered local fog and restricted visibility during the final approach of an ILS approach and missed approach procedure came too late to prevent the aircraft from descending into the ground.","0343"
"1556","Douglas C-47","4651","January 12, 1956","1   (passengers:0  crew:1)","?","0","Frederick Henry Bay,  Australia","Ansett ANA","VH-BZA","Melbourne - Hobart","The cargo plane flew into the water upon approach. The pilot relied on inadequate external visual reference for determining the altitude and paid insufficient attention to the instruments. The irregular approach procedure carried out by the pilot in command deprived him of the opportunity to monitor the safe approach to the aerodrome through the correlation of time, height and position.","0340"
"1557","Douglas DC-3","15552/26997","January 17, 1956","4   (passengers:1  crew:3)","?","0","Oreway, Newfoundland, Canada","Quebecair","CF-GVZ","Knob Lake - Oreway","Loss of the No. 2 engine necessitated a forced crash landing near a railway station.  Failure to maintain height at night due to the loss of the starboard engine in icing conditions.  The aircraft was also overloaded.","0052"
"1558","Douglas DC-3","9385","January 18, 1956","22   (passengers:19  crew:3)","?","0","Torysa, Czechoslovakia","Ceskoslovenske Aerolinie","OK-WDZ","Bratislava - Kosice","After being diverted, while cruising in bad weather conditions, the aircraft hit trees and crashed in a snow covered and wooded area located in the Tatra Mountain Range.","1449"
"1559","Douglas C-47","4509","January 28, 1956","3   (passengers:0  crew:3)","?","0","Lyon, France","Air France","F-BCYK","Nice - Marseille - Lyon - Paris","While in heavy fog and on final approach, the airplane was too low and hit telephone lines before crashing in a field  about 2 km short of the runway.","0017"
"1560","Bristol 170 Freighter 31","?","February 13, 1956","2   (passengers:0  crew:2)","?","0","Frobisher Bay, Canada","Maritime Central Airways","CF-FZU","Frobisher Bay, Baffin Island - Fort Chimo, Quebec","Loss of control due to improperly secured heavy cargo breaking loose and sliding to the rear of the aircraft during takeoff.","?"
"1561","Douglas C-47-DL","6079","February 14, 1956","2   (passengers:0  crew:2)","?","0","Near Fort Chimo, Quebec, Canada","Spartan Air Services","CF-BZH","Frobisher Bay, Baffin Island - Fort Chimo, Quebec","Crashed on a ferrying flight. Soldier-of-fortune Harold (Whitey) Dahl killed.","?"
"1562","Douglas R5D2","18331","February 17, 1956","40   (passengers:35  crew:5)","?","0","Near Niles, California","Military - U.S. Marine Corps","39116","El Toro MAS - Alameda NAS","Crashed into Sunol Ridge after circling for half-an-hour while attempting to land at Alameda Naval Air Station.  Non adherence of the crew to the holding pattern and departure from the radio beacon and descent in a unprescribed manner.","1342"
"1563","Avro 685 York C-1","MW193","February 18, 1956","50   (passengers:45  crew:5)","?","0","Near Zurrieg, Malta","Scottish Airlines","G-ANSY","Luqa -Stansted","The aircraft took off from Luqua Airport in Malta bound for England when smoke was seen coming from the left engine.  Shortly thereafter it banked to the left and plunged almost vertically into cliffs.  Engine failure due to cracks in the boost enrichment capsule and the failure of the captain to stop the leftward swing of the aircraft using the rudder. Failure to correct the nose high attitude and failure to feather the No. 1 engine.","1323"
"1564","Douglas DC-6B","43835/380","February 20, 1956","52   (passengers:49  crew:3)","?","0","Near Cairo, Egypt","Transport Aerien Intercontinentaux (France)","F-BGOD","Karachi - Bahrain - Cairo - Paris","The flight crashed while on approach 18 miles SE of Cairo.  Pilot's inexperience in ILS approaches.  Improper approach.  Crew error. Crew fatigue.","0345"
"1565","Douglas DC-3","14918/2636","February 24, 1956","19   (passengers:16  crew:3)","?","0","Near Aleppo, Syria","Syrian Airways","YK-AAE","Aleppo - Damascus","Crashed shortly after taking off 15 miles from Aleppo.  Double engine failure during a thunderstorm.","?"
"1566","Douglas C-47B","16813/33561","February 25, 1956","3   (passengers:0  crew:3)","?","0","Jalkot, Pakistan","Pakistan International Airlines","AP-ACZ","Gilgit  - Islamabad","Struck  Lash Golath Mountain while en route. Pilot error while he was attempting a flight beyond his ability or experience.","1455"
"1567","Douglas DC-3","12989","March 21, 1956","2   (passengers:2  crew:0)","?","0","Tezpur, India","Indian Airlines","VT-CGN","Gaughail - Tezpur","An improper flare on landing caused the aircraft to bounce causing the right wing to strike the runway after which the plane veered off the runway.","?"
"1568","Douglas C-47B","16670/33418","March 28, 1956","1   (passengers:0  crew:1)","?","0","Largs, England","Starways","G-AMRB","Liverpool - Glasgow","During an instrument approach at night the pilot of the cargo plane permitted the aircraft to descend below the approved safety height and this resulted in the aircraft striking the ground.","?"
"1569","Douglas C-47A","10230","March 31, 1956","3   (passengers:0  crew:3)","?","0","Indapur, India","National Air Operators","VT-DCM","Asansol - Bagdogra","The cargo plane crashed en route. A downdraft which forced down the fully loaded aircraft to the ground when it was flying under exceptionally severe weather conditions below 1000 ft. and possibly at a few hundred feet above the terrain.","0520"
"1570","Douglas C-47A","12667","March 31, 1956","19   (passengers:17  crew:2)","?","0","Korat ,Thailand","Military - Royal Thai Air Force","L2-14/96","Korat AFB - Bangkok","Crashed shortly after taking off.","?"
"1571","Martin 404","14103","April 01, 1956","22   (passengers:21  crew:1)","400","0","Pittsburgh, Pennsylvania","Trans World Airlines","N40403","Pittsburgh - Newark","The aircraft yawed to the left and crashed shortly after takeoff after a fire warning occurred on the No.1 engine. The cause of the fire warning was a failed exhaust connector clamp in the left engine, which triggered an adjacent fire detecting unit. A windmilling left propeller, the extended landing gear, and the takeoff flaps produced sufficient drag to make the airplane lose altitude and strike the ground. An uncoordinated emergency action in a very short time available to the crew, which produced an aircraft configuration with insurmountable drag.","1920"
"1572","Boeing 377 Stratocruiser 10-30","15954","April 02, 1956","5   (passengers:4  crew:1)","2","0","Seattle, Washington","Northwest Orient Airlines","N74608","Seattle - Portland","The aircraft experienced extreme buffeting after taking off from Seattle. A decision was made to divert to McChord AFB but the plane continued to loose altitude and had to be ditched in Puget Sound 4.7 nautical miles southwest of Seattle. The plane sank within 15 minutes. The incorrect analysis of control difficulty which occurred on retraction of the wing flaps as a result of the flight engineer's failure to close the engine cowl flaps; the analysis having been made under conditions of urgency and within an extremely short period of time available for decision.","0810"
"1573","Aero Commander  520","520-7","April 09, 1956","6   (passengers:5  crew:1)","6","0","Skilak Lake, Alaska","Cordova Airlines","B5386N","Anchorage - Seward","Crashed en route from Anchorage to Seward. The pilot's action in continuing flight during instrument weather conditions on a planned VFR flight through a mountain pass and striking a mountainside while attempting to climb out.","0951"
"1574","Consolidated PBY-5A Catalina","22021","April 18, 1956","3   (passengers:1  crew:2)","?","0","Parintins, Brazil","Panair do Brasil","PP-PDB","Belem - Parintins","The plane struck an object in the water while landing and broke up.","?"
